"","Feature   ","rho   ","p-value   ","FDR   "
"424","POLD2",-0.27,"3.35e-02","1.02e-01"
"143","IL1R1",0.27,"3.4e-02","1.04e-01"
"115","LYPD8",0.27,"3.44e-02","1.04e-01"
"977","BMP2",-0.27,"3.44e-02","1.04e-01"
"395","SGK1",-0.27,"3.45e-02","1.04e-01"
"792","MFGE8",0.27,"3.47e-02","1.05e-01"
"893","RNF43",-0.27,"3.5e-02","1.05e-01"
"927","UHRF1",-0.27,"3.5e-02","1.05e-01"
"734","SFTA3",0.27,"3.51e-02","1.05e-01"
"741","DLGAP5",-0.27,"3.54e-02","1.05e-01"
"304","CCNB1",-0.27,"3.56e-02","1.05e-01"
"456","EZH2",-0.27,"3.65e-02","1.08e-01"
"404","ACAT2",-0.27,"3.67e-02","1.08e-01"
"512","MELK",-0.27,"3.68e-02","1.08e-01"
"381","TTK",-0.27,"3.73e-02","1.09e-01"
"423","AEBP1",0.27,"3.76e-02","1.10e-01"
"150","IL1RN",-0.27,"3.83e-02","1.12e-01"
"308","EDIL3",0.27,"3.89e-02","1.13e-01"
"805","ABAT",0.27,"3.91e-02","1.13e-01"
"929","C3",-0.27,"3.93e-02","1.14e-01"
"936","ASF1B",-0.27,"3.94e-02","1.14e-01"
"587","CTSD",0.27,"3.96e-02","1.14e-01"
"533","COL5A1",0.26,"4.1e-02","1.17e-01"
"247","HTRA3",0.26,"4.13e-02","1.18e-01"
"234","SMC4",-0.26,"4.21e-02","1.20e-01"
"900","SOX9",-0.26,"4.24e-02","1.20e-01"
"899","KPNA2",-0.26,"4.25e-02","1.20e-01"
"29","CDC20",-0.26,"4.36e-02","1.23e-01"
"740","BMP4",-0.26,"4.37e-02","1.23e-01"
"762","IGHG3",0.26,"4.39e-02","1.23e-01"
"1001","MMP9",0.26,"4.42e-02","1.24e-01"
"466","LOXL2",0.26,"4.47e-02","1.25e-01"
"570","CEP55",-0.26,"4.59e-02","1.28e-01"
"344","TXNDC5",-0.26,"4.6e-02","1.28e-01"
