"Barcode","Genes"
"s_008um_00223_00115-1","GREM1"
"s_008um_00455_00185-1","GREM1"
"s_008um_00299_00664-1","GREM1"
"s_008um_00287_00431-1","GREM1"
"s_008um_00124_00472-1","GREM1"
"s_008um_00471_00492-1","GREM1"
"s_008um_00263_00398-1","GREM1"
"s_008um_00217_00303-1","GREM1"
"s_008um_00382_00309-1","GREM1"
"s_008um_00161_00297-1","GREM1"
"s_008um_00291_00371-1","GREM1"
"s_008um_00361_00431-1","GREM1"
"s_008um_00405_00241-1","GREM1"
"s_008um_00338_00281-1","GREM1"
"s_008um_00173_00122-1","GREM1"
"s_008um_00324_00460-1","GREM1"
"s_008um_00292_00457-1","GREM1"
"s_008um_00226_00360-1","GREM1"
"s_008um_00329_00420-1","GREM1"
"s_008um_00110_00390-1","GREM1"
"s_008um_00413_00188-1","GREM1"
"s_008um_00407_00172-1","GREM1"
"s_008um_00372_00565-1","GREM1"
"s_008um_00243_00394-1","GREM1"
"s_008um_00137_00127-1","GREM1"
"s_008um_00223_00110-1","GREM1"
"s_008um_00533_00594-1","GREM1"
"s_008um_00365_00283-1","GREM1"
"s_008um_00087_00418-1","GREM1"
"s_008um_00267_00352-1","GREM1"
"s_008um_00407_00182-1","GREM1"
"s_008um_00738_00466-1","GREM1"
"s_008um_00256_00135-1","GREM1"
"s_008um_00339_00387-1","GREM1"
"s_008um_00167_00351-1","GREM1"
"s_008um_00418_00303-1","GREM1"
"s_008um_00338_00455-1","GREM1"
"s_008um_00176_00323-1","GREM1"
"s_008um_00362_00122-1","GREM1"
"s_008um_00453_00324-1","GREM1"
"s_008um_00418_00351-1","GREM1"
"s_008um_00176_00136-1","GREM1"
"s_008um_00156_00047-1","GREM1"
"s_008um_00223_00372-1","GREM1"
"s_008um_00130_00257-1","GREM1"
"s_008um_00414_00536-1","GREM1"
"s_008um_00232_00358-1","GREM1"
"s_008um_00670_00791-1","GREM1"
"s_008um_00171_00068-1","GREM1"
"s_008um_00402_00538-1","GREM1"
"s_008um_00239_00138-1","GREM1"
"s_008um_00502_00233-1","GREM1"
"s_008um_00250_00446-1","GREM1"
"s_008um_00182_00359-1","GREM1"
"s_008um_00397_00295-1","GREM1"
"s_008um_00169_00219-1","GREM1"
"s_008um_00012_00485-1","GREM1"
"s_008um_00051_00414-1","GREM1"
"s_008um_00176_00077-1","GREM1"
"s_008um_00486_00493-1","GREM1"
"s_008um_00303_00410-1","GREM1"
"s_008um_00420_00246-1","GREM1"
"s_008um_00143_00179-1","GREM1"
"s_008um_00182_00301-1","GREM1"
"s_008um_00363_00445-1","GREM1"
"s_008um_00008_00353-1","GREM1"
"s_008um_00224_00360-1","GREM1"
"s_008um_00121_00221-1","GREM1"
"s_008um_00191_00289-1","GREM1"
"s_008um_00325_00395-1","GREM1"
"s_008um_00357_00100-1","GREM1"
"s_008um_00401_00308-1","GREM1"
"s_008um_00392_00107-1","GREM1"
"s_008um_00093_00407-1","GREM1"
"s_008um_00100_00224-1","GREM1"
"s_008um_00355_00367-1","GREM1"
"s_008um_00179_00109-1","GREM1"
"s_008um_00274_00461-1","GREM1"
"s_008um_00090_00478-1","GREM1"
"s_008um_00352_00419-1","GREM1"
"s_008um_00177_00175-1","GREM1"
"s_008um_00264_00140-1","GREM1"
"s_008um_00172_00320-1","GREM1"
"s_008um_00180_00284-1","GREM1"
"s_008um_00337_00092-1","GREM1"
"s_008um_00737_00599-1","GREM1"
"s_008um_00398_00339-1","GREM1"
"s_008um_00126_00275-1","GREM1"
"s_008um_00278_00399-1","GREM1"
"s_008um_00252_00368-1","GREM1"
"s_008um_00118_00392-1","GREM1"
"s_008um_00355_00398-1","GREM1"
"s_008um_00420_00387-1","GREM1"
"s_008um_00168_00288-1","GREM1"
"s_008um_00147_00152-1","GREM1"
"s_008um_00421_00165-1","GREM1"
"s_008um_00432_00299-1","GREM1"
"s_008um_00091_00425-1","GREM1"
"s_008um_00083_00271-1","GREM1"
"s_008um_00134_00201-1","GREM1"
"s_008um_00173_00178-1","GREM1"
"s_008um_00185_00147-1","GREM1"
"s_008um_00178_00158-1","GREM1"
"s_008um_00394_00790-1","GREM1"
"s_008um_00496_00397-1","GREM1"
"s_008um_00086_00439-1","GREM1"
"s_008um_00105_00475-1","GREM1"
"s_008um_00392_00161-1","GREM1"
"s_008um_00318_00374-1","GREM1"
"s_008um_00337_00462-1","GREM1"
"s_008um_00436_00248-1","GREM1"
"s_008um_00303_00406-1","GREM1"
"s_008um_00048_00482-1","GREM1"
"s_008um_00179_00453-1","GREM1"
"s_008um_00135_00322-1","GREM1"
"s_008um_00267_00143-1","GREM1"
"s_008um_00314_00371-1","GREM1"
"s_008um_00439_00291-1","GREM1"
"s_008um_00474_00481-1","GREM1"
"s_008um_00569_00794-1","GREM1"
"s_008um_00383_00468-1","GREM1"
"s_008um_00387_00079-1","GREM1"
"s_008um_00361_00335-1","GREM1"
"s_008um_00253_00365-1","GREM1"
"s_008um_00318_00075-1","GREM1"
"s_008um_00078_00275-1","GREM1"
"s_008um_00378_00315-1","GREM1"
"s_008um_00396_00104-1","GREM1"
"s_008um_00235_00343-1","GREM1"
"s_008um_00136_00477-1","GREM1"
"s_008um_00076_00425-1","GREM1"
"s_008um_00366_00472-1","GREM1"
"s_008um_00431_00230-1","GREM1"
"s_008um_00355_00353-1","GREM1"
"s_008um_00404_00360-1","GREM1"
"s_008um_00356_00318-1","GREM1"
"s_008um_00072_00477-1","GREM1"
"s_008um_00450_00531-1","GREM1"
"s_008um_00209_00220-1","GREM1"
"s_008um_00398_00154-1","GREM1"
"s_008um_00390_00470-1","GREM1"
"s_008um_00242_00068-1","GREM1"
"s_008um_00193_00399-1","GREM1"
"s_008um_00045_00320-1","GREM1"
"s_008um_00216_00360-1","GREM1"
"s_008um_00641_00784-1","GREM1"
"s_008um_00309_00658-1","GREM1"
"s_008um_00018_00446-1","GREM1"
"s_008um_00186_00209-1","GREM1"
"s_008um_00436_00247-1","GREM1"
"s_008um_00299_00151-1","GREM1"
"s_008um_00224_00108-1","GREM1"
"s_008um_00169_00225-1","GREM1"
"s_008um_00083_00417-1","GREM1"
"s_008um_00347_00132-1","GREM1"
"s_008um_00227_00386-1","GREM1"
"s_008um_00027_00488-1","GREM1"
"s_008um_00337_00084-1","GREM1"
"s_008um_00227_00115-1","GREM1"
"s_008um_00415_00165-1","GREM1"
"s_008um_00321_00420-1","GREM1"
"s_008um_00394_00133-1","GREM1"
"s_008um_00243_00420-1","GREM1"
"s_008um_00202_00381-1","GREM1"
"s_008um_00379_00081-1","GREM1"
"s_008um_00226_00376-1","GREM1"
"s_008um_00254_00446-1","GREM1"
"s_008um_00230_00403-1","GREM1"
